{\rtf1\ansi\ansicpg1252\cocoartf2513
\cocoatextscaling0\cocoaplatform0{\fonttbl\f0\fmodern\fcharset0 Courier;}
{\colortbl;\red255\green255\blue255;\red0\green0\blue0;}
{\*\expandedcolortbl;;\cssrgb\c0\c0\c0;}
\margl1440\margr1440\vieww10800\viewh8400\viewkind0
\deftab720
\pard\pardeftab720\partightenfactor0

\f0\fs24 \cf2 \expnd0\expndtw0\kerning0
\outl0\strokewidth0 \strokec2 Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)\
80,80,Jun 25,@,CHC,W3-2,35,30,3,3,0,0,2,3,5,0,10,0,0,0,0,0,0,0,.263,.338,.460,.798,5,14,R,A.Alzolay(58)\
81,81,Jun 26,@,CHC,W5-3,35,33,5,7,2,0,2,4,2,0,10,0,0,0,1,2,1,0,.263,.337,.460,.797,3,15,R,Y.Darvish(43)\
82,82,Jun 27,@,CHC,L7-9,39,33,7,8,2,0,2,7,5,0,10,1,0,0,0,2,1,0,.263,.338,.460,.798,5,14,R,T.Chatwood(32)\
83,83,Jun 28,@,NYM,W6-2,39,35,6,9,2,0,1,6,2,1,11,1,0,1,0,0,2,0,.263,.337,.459,.797,6,15,R,J.deGrom(53)\
84,84,Jun 29,@,NYM,W5-4,41,38,5,13,3,0,2,5,1,0,9,2,0,0,0,1,0,0,.264,.338,.461,.799,9,18,L,S.Matz(45)\
85,85,Jun 30,@,NYM,L5-8,39,36,5,10,3,0,1,5,3,0,10,0,0,0,0,0,3,1,.264,.338,.461,.799,7,15,R,N.Syndergaard(45)\
86,86,Jul 2,,PHI,L0-2,33,30,0,4,1,0,0,0,3,0,11,0,0,0,0,1,0,0,.262,.337,.458,.794,6,13,R,A.Nola(79)\
87,87,Jul 3,,PHI,W9-2,36,35,9,10,3,0,3,9,1,0,6,0,0,0,0,0,0,0,.263,.336,.460,.796,3,13,R,N.Pivetta(40)\
88,88,Jul 4,,PHI,W12-6,40,34,12,12,5,0,5,11,5,1,10,0,1,0,0,1,0,0,.264,.338,.465,.802,4,16,R,Z.Eflin(20)\
89,89,Jul 5,,MIA,W1-0,34,29,1,5,1,0,0,1,5,3,10,0,0,0,0,1,0,0,.263,.337,.463,.800,8,14,R,J.Yamamoto(72)\
90,90,Jul 6,,MIA,L4-5,35,34,4,9,4,0,2,4,1,0,9,0,0,0,0,1,0,0,.263,.337,.464,.800,4,13,L,C.Smith(53)\
91,91,Jul 7,,MIA,W4-3,38,32,4,9,1,0,1,4,6,1,10,0,0,0,0,1,1,0,.263,.337,.463,.800,10,13,R,T.Richards(39)\
