"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Jordan Lyles","- - -","12","8","0","28","28","141.0","9.32","3.51","1.60",".285","75.7%","40.3%","15.5%","4.15","4.64","4.61","1.6","7593"
"Julio Teheran","Braves","10","11","0","33","33","174.2","8.35","4.28","1.13",".266","76.6%","39.0%","11.2%","3.81","4.66","5.26","1.6","6797"
"Zach Davies","Brewers","10","7","0","31","31","159.2","5.75","2.87","1.13",".272","75.0%","40.1%","11.0%","3.55","4.56","5.20","1.6","13183"
"Zac Gallen","- - -","3","6","0","15","15","80.0","10.80","4.05","0.90",".284","83.7%","38.9%","10.8%","2.81","3.61","4.15","1.6","19291"
"Pablo Lopez","Marlins","5","8","0","21","21","111.1","7.68","2.18","1.21",".299","66.4%","47.6%","14.6%","5.09","4.28","4.37","1.6","17085"
"Trent Thornton","Blue Jays","5","9","0","29","29","139.1","8.72","3.81","1.49",".313","72.3%","31.0%","13.6%","5.04","4.80","5.07","1.6","17948"
"Jakob Junis","Royals","9","14","0","31","31","175.1","8.42","2.98","1.59",".318","70.3%","42.4%","16.7%","5.24","4.82","4.63","1.5","13619"
"Aaron Civale","Indians","3","4","0","10","10","57.2","7.18","2.50","0.62",".250","77.6%","40.5%","6.6%","2.34","3.40","4.61","1.5","19479"
"Domingo German","Yankees","16","4","0","24","24","134.2","9.49","2.47","2.00",".264","77.7%","38.3%","19.9%","4.28","4.91","4.25","1.5","17149"
"Zach Eflin","Phillies","10","13","0","28","28","157.2","6.96","2.57","1.54",".294","73.0%","44.2%","15.8%","4.22","4.86","4.79","1.5","13774"
"Andrew Cashner","- - -","10","7","0","23","23","126.2","6.18","3.27","1.28",".282","67.9%","50.0%","13.4%","4.83","4.87","5.13","1.5","8782"
"Ross Stripling","Dodgers","2","3","0","15","15","70.0","9.13","1.80","1.29",".296","75.8%","53.6%","17.9%","3.60","3.69","3.42","1.5","13273"
"Jeff Samardzija","Giants","11","12","0","32","32","181.1","6.95","2.43","1.39",".240","76.9%","36.4%","12.6%","3.52","4.59","5.02","1.5","3254"
"Tyler Mahle","Reds","3","12","0","25","25","129.2","8.95","2.36","1.74",".307","66.7%","47.0%","20.8%","5.14","4.66","3.99","1.4","16358"
"Griffin Canning","Angels","5","5","0","17","17","88.1","9.58","2.95","1.32",".272","75.7%","36.7%","12.3%","4.18","4.26","4.73","1.4","19867"
"Trevor Richards","- - -","4","12","0","23","23","123.1","8.39","3.72","1.31",".294","76.6%","35.6%","12.0%","4.38","4.61","5.13","1.4","19309"
"Jordan Zimmermann","Tigers","1","13","0","23","23","112.0","6.59","2.01","1.53",".339","58.2%","41.9%","14.7%","6.91","4.79","4.87","1.3","4505"
"Ryne Stanek","Rays","0","1","0","27","27","43.0","10.26","2.93","0.63",".252","79.9%","34.6%","6.3%","2.09","2.82","4.13","1.3","15947"
"Danny Duffy","Royals","7","6","0","23","23","130.2","7.92","3.17","1.45",".285","73.5%","36.0%","13.0%","4.34","4.78","5.14","1.3","3542"
"Dinelson Lamet","Padres","3","5","0","14","14","73.0","12.95","3.70","1.48",".311","73.6%","36.3%","19.7%","4.07","3.91","3.44","1.3","17186"
"Chase Anderson","Brewers","7","4","0","27","27","129.0","7.74","3.21","1.40",".264","76.1%","35.3%","12.0%","4.19","4.76","5.32","1.3","6895"
"Mitch Keller","Pirates","1","5","0","11","11","48.0","12.19","3.00","1.13",".475","59.6%","39.2%","13.0%","7.13","3.19","3.47","1.3","17594"
"Andrew Heaney","Angels","4","6","0","18","18","95.1","11.14","2.83","1.89",".312","75.5%","33.6%","18.3%","4.91","4.63","4.18","1.2","15423"
"Kevin Gausman","- - -","3","8","0","17","17","82.0","9.55","2.96","1.43",".345","58.4%","36.8%","14.1%","6.37","4.29","4.46","1.2","14107"
"Gio Gonzalez","Brewers","2","2","0","17","17","81.0","7.89","4.00","1.00",".282","75.7%","43.9%","12.5%","3.78","4.24","4.56","1.2","7448"
"Steven Brault","Pirates","3","5","0","19","19","95.2","8.09","3.95","1.22",".311","70.1%","45.2%","13.5%","4.99","4.69","4.92","1.2","15291"
"Brad Peacock","Astros","5","6","0","15","15","80.2","9.15","2.57","1.45",".278","75.8%","38.6%","13.7%","4.24","4.32","4.56","1.1","5401"
"Dakota Hudson","Cardinals","16","7","0","32","32","174.0","7.03","4.40","1.14",".275","78.0%","56.9%","20.0%","3.36","4.92","4.53","1.1","19206"
"J.A. Happ","Yankees","12","8","0","30","30","156.1","7.71","2.76","1.96",".279","75.6%","39.5%","18.8%","5.01","5.34","4.82","1.1","7410"
"Carlos Carrasco","Indians","4","6","0","12","12","65.0","10.94","1.52","1.94",".353","73.8%","39.2%","20.0%","4.98","4.14","3.48","1.1","6632"
"Jake Arrieta","Phillies","8","8","0","24","24","135.2","7.30","3.38","1.39",".316","73.8%","51.3%","19.4%","4.64","4.89","4.46","1.1","4153"
"Adrian Houser","Brewers","2","7","0","18","18","80.2","9.37","2.90","1.34",".323","73.1%","51.8%","20.7%","4.57","4.22","3.71","1.1","12718"
"Kolby Allard","Rangers","4","2","0","9","9","45.1","6.55","3.77","0.60",".325","68.3%","45.0%","6.8%","4.96","4.01","5.08","1.1","18694"
"Caleb Smith","Marlins","10","11","0","28","28","153.1","9.86","3.52","1.94",".251","75.8%","26.1%","15.6%","4.52","5.11","5.05","1.0","14875"
"Zach Plesac","Indians","8","6","0","21","21","115.2","6.85","3.11","1.48",".255","78.6%","39.1%","14.5%","3.81","4.94","5.06","1.0","19979"
"Trevor Williams","Pirates","7","9","0","26","26","145.2","6.98","2.72","1.67",".303","68.5%","37.1%","14.5%","5.38","5.12","5.25","1.0","16977"
"Mike Leake","- - -","12","11","0","32","32","197.0","5.80","1.23","1.87",".295","72.6%","46.8%","18.2%","4.29","5.19","4.76","1.0","10130"
"Cal Quantrill","Padres","4","8","0","18","18","91.2","7.66","2.36","1.47",".304","63.2%","42.9%","14.9%","5.69","4.52","4.59","1.0","19312"
"Joe Ross","Nationals","4","2","0","9","9","44.2","7.66","4.43","0.60",".310","82.2%","45.4%","7.5%","3.02","3.86","4.77","0.9","12972"
"Tyler Alexander","Tigers","1","4","0","8","8","41.2","7.56","1.08","1.30",".365","75.1%","40.8%","12.2%","4.54","3.91","4.38","0.9","17735"
"Austin Voth","Nationals","2","1","0","8","8","41.1","8.71","2.83","1.09",".250","77.5%","34.3%","10.9%","3.48","4.01","4.65","0.9","15047"
"Rich Hill","Dodgers","4","1","0","13","13","58.2","11.05","2.76","1.53",".275","89.3%","49.6%","22.2%","2.45","4.10","3.41","0.9","4806"
"Jordan Yamamoto","Marlins","4","5","0","15","15","78.2","9.38","4.12","1.26",".225","66.6%","35.6%","12.6%","4.46","4.51","4.89","0.9","17585"
"Asher Wojciechowski","Orioles","4","8","0","16","16","81.2","8.60","3.09","1.87",".274","75.9%","30.3%","13.7%","4.96","5.37","5.68","0.9","10836"
"Carlos Rodon","White Sox","3","2","0","7","7","34.2","11.94","4.41","1.04",".322","63.9%","43.0%","11.4%","5.19","3.62","4.13","0.9","16137"
"Julio Urias","Dodgers","1","1","0","8","8","30.1","10.98","2.37","0.89",".303","72.3%","31.6%","8.3%","3.26","3.05","4.12","0.8","14765"
"Jose Urquidy","Astros","2","1","0","7","7","34.0","9.53","1.59","1.32",".293","71.0%","44.1%","14.7%","4.24","3.54","3.61","0.8","18413"
"Dallas Keuchel","Braves","8","8","0","19","19","112.2","7.27","3.12","1.28",".298","80.4%","60.1%","23.9%","3.75","4.72","4.06","0.8","9434"
"Mike Foltynewicz","Braves","8","6","0","21","21","117.0","8.08","2.85","1.77",".265","71.7%","36.7%","16.9%","4.54","4.97","4.73","0.8","10811"
"Aaron Sanchez","- - -","5","14","0","27","27","131.1","7.88","4.66","1.37",".320","67.4%","46.9%","16.1%","5.89","5.25","5.15","0.8","11490"
"Ariel Jurado","Rangers","5","9","0","18","18","93.0","6.39","3.00","1.65",".336","58.4%","44.6%","16.8%","6.68","5.30","5.08","0.8","17030"
"Sean Manaea","Athletics","4","0","0","5","5","29.2","9.10","2.12","0.91",".194","100.0%","41.2%","10.7%","1.21","3.42","3.98","0.8","15873"
"Jameson Taillon","Pirates","2","3","0","7","7","37.1","7.23","1.93","0.96",".263","52.1%","49.6%","12.9%","4.10","3.80","4.06","0.8","11674"
"Daniel Mengden","Athletics","5","2","0","9","9","49.0","6.43","3.86","0.92",".264","72.4%","34.2%","7.6%","4.22","4.40","5.75","0.7","16980"
"Jose Urena","Marlins","4","7","0","13","13","74.2","6.15","2.77","1.21",".318","69.8%","50.6%","14.7%","4.70","4.59","4.66","0.7","11589"
"Brendan McKay","Rays","2","4","0","11","11","46.2","10.22","2.89","1.54",".331","62.0%","35.3%","13.8%","5.40","4.14","4.38","0.7","20186"
"Vince Velasquez","Phillies","6","7","0","23","23","107.0","9.67","3.11","1.93",".296","74.5%","34.0%","17.6%","4.96","5.15","4.79","0.7","11189"
"Jacob Waguespack","Blue Jays","4","5","0","13","13","65.1","6.89","3.44","1.24",".281","73.1%","40.3%","11.8%","4.13","4.81","5.33","0.7","18318"
"Antonio Senzatela","Rockies","11","11","0","25","25","124.2","5.49","4.11","1.37",".333","63.0%","53.8%","18.3%","6.71","5.44","5.12","0.7","15488"
"Adam Plutko","Indians","7","5","0","20","20","104.2","6.62","2.15","1.89",".270","75.8%","29.5%","14.0%","4.64","5.31","5.56","0.7","15846"
