"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Trevor Cahill","Angels","2","5","0","11","11","53.1","7.26","3.04","2.70",".252","65.3%","40.6%","25.0%","6.92","6.68","5.17","-0.5","6249"
"Corbin Martin","Astros","1","1","0","5","5","19.1","8.84","5.59","3.72",".283","88.2%","42.6%","32.0%","5.59","8.49","5.68","-0.5","19884"
"Joseph Palumbo","Rangers","0","3","0","4","4","10.2","11.81","5.06","5.91",".433","60.4%","33.3%","46.7%","14.34","11.37","5.64","-0.5","17035"
"Dan Straily","Orioles","1","4","0","8","8","33.1","4.86","4.05","3.24",".307","69.3%","29.4%","19.4%","8.10","8.25","7.27","-0.5","9460"
"David Hess","Orioles","1","10","0","14","14","67.2","7.71","3.33","3.19",".270","57.6%","32.7%","23.3%","7.18","7.22","5.64","-0.6","16130"
"Alex Cobb","Orioles","0","2","0","3","3","12.1","5.84","1.46","6.57",".293","67.3%","46.0%","60.0%","10.95","11.89","4.82","-0.6","6562"
"Derek Holland","- - -","1","5","0","8","8","36.2","10.31","5.89","2.70",".303","63.8%","39.4%","26.8%","8.10","6.95","5.27","-0.6","4141"
"Nathan Eovaldi","Red Sox","1","1","0","12","12","54.1","8.61","5.13","2.48",".284","74.6%","42.6%","25.4%","6.13","6.71","5.28","-0.6","9132"
"Gabriel Ynoa","Orioles","0","9","0","13","13","64.1","4.20","2.10","2.80",".251","71.4%","43.9%","21.7%","6.02","7.16","5.97","-0.6","12938"
"Edwin Jackson","- - -","2","9","0","13","13","55.1","7.32","3.90","2.77",".372","49.9%","43.3%","24.3%","9.76","7.05","5.57","-0.6","1841"
"Corbin Burnes","Brewers","0","2","0","4","4","17.2","12.23","4.08","5.60",".404","75.2%","41.8%","57.9%","10.70","9.95","3.99","-0.7","19361"
